crawled_at,site_type,site_name,url,title,status,relevance_label,relevance_score,quarantined,content_excluded,metadata_items,reasons
2026-04-18T00:39:30.977571+00:00,distillery,Springbank,https://www.springbank.scot/category/updates/,Updates Archives - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:39:30.972455+00:00,distillery,Springbank,https://www.springbank.scot/category/uncategorised/,Uncategorised Archives - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:38:39.918997+00:00,distillery,Springbank,https://www.springbank.scot/about/distillery/,Distillery - Springbank,ok:direct-parallel,Medium,28,0,0,10,some extracted metadata
2026-04-18T00:38:37.783394+00:00,distillery,Springbank,https://www.springbank.scot/countdown-collection/countdown-collection-2025-release/,Countdown Collection: 2025 Release - Springbank,ok:direct-parallel,Medium,38,0,0,27,rich extracted metadata
2026-04-18T00:38:36.551837+00:00,distillery,Springbank,https://www.springbank.scot/countdown-collection/countdown-collection-2024-the-whisky/,Countdown Collection 2024: The Whisky - Springbank,ok:direct-parallel,Medium,38,0,0,35,rich extracted metadata
2026-04-18T00:38:36.254915+00:00,distillery,Springbank,https://www.springbank.scot/category/new-release/,new release Archives - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:37:33.824997+00:00,distillery,Springbank,https://www.springbank.scot/about/process/,Process - Springbank,ok:direct-parallel,Medium,38,0,0,22,rich extracted metadata
2026-04-18T00:37:33.005163+00:00,distillery,Springbank,https://www.springbank.scot/about/place/,Place - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:37:32.917962+00:00,distillery,Springbank,https://www.springbank.scot/about/introduction/,Introduction - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:36:35.279825+00:00,distillery,Springbank,https://www.springbank.scot/whisky-school/,Springbank Whisky School - Springbank,ok:direct-parallel,Medium,20,0,0,7,some extracted metadata
2026-04-18T00:36:34.223709+00:00,distillery,Springbank,https://www.springbank.scot/whisky/,Whisky - Springbank,ok:direct-parallel,Medium,38,0,0,27,rich extracted metadata
2026-04-18T00:36:33.172927+00:00,distillery,Springbank,https://www.springbank.scot/terms-conditions/,Terms & Conditions - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:35:28.650522+00:00,distillery,Springbank,https://www.springbank.scot/whisky/springbank-range/,Springbank - Springbank,ok:direct-parallel,Medium,38,0,0,69,rich extracted metadata
2026-04-18T00:35:27.824083+00:00,distillery,Springbank,https://www.springbank.scot/malts-festival-info/,Malts Festival 2026 - Springbank,ok:direct-parallel,Medium,38,0,0,15,rich extracted metadata
2026-04-18T00:35:27.821266+00:00,distillery,Springbank,https://www.springbank.scot/password-reset/,Password Reset - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:35:27.817845+00:00,distillery,Springbank,https://www.springbank.scot/privacy-policy/,Privacy Policy - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:34:05.161289+00:00,distillery,Springbank,https://www.springbank.scot/fair-work-first-policy/,Fair Work First policy - Springbank,ok:direct-parallel,Medium,20,0,0,11,some extracted metadata
2026-04-18T00:34:04.344201+00:00,distillery,Springbank,https://www.springbank.scot/countdown-collection-2023-release/,Countdown Collection: 2023 Release - Springbank,ok:direct-parallel,Medium,38,0,0,32,rich extracted metadata
2026-04-18T00:34:04.341571+00:00,distillery,Springbank,https://www.springbank.scot/contact-us/,Contact Us - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:34:04.336889+00:00,distillery,Springbank,https://www.springbank.scot/account-login/,Login - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:33:19.261057+00:00,distillery,Springbank,https://www.springbank.scot/about/story/,Story - Springbank,ok:direct-parallel,Medium,38,0,0,20,rich extracted metadata
2026-04-18T00:33:17.618186+00:00,distillery,Springbank,https://www.springbank.scot/blog/,Blog - Springbank,ok:direct-parallel,Medium,20,0,0,6,some extracted metadata
2026-04-18T00:33:17.613001+00:00,distillery,Springbank,https://www.springbank.scot/about/,About - Springbank,excluded:not-whisky-relevant,Low,8,1,1,0,low relevance score with weak whisky evidence; quarantined to protect enrichment quality
2026-04-18T00:32:16.767442+00:00,distillery,Springbank,https://www.springbank.scot/,"Springbank Single Malt, The Whisky Drinker's Whisky",ok:direct-parallel,Medium,20,0,0,10,some extracted metadata
2026-04-18T00:31:01.392249+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/introducing-our-2023-campbeltown-malts-festival-limited-edition-release,Limited-Edition Campbeltown Malts Festival 2023 | Glen Scotia - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,27,rich extracted metadata
2026-04-18T00:30:22.410089+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/international-spirits-challenge-gold,International Spirits Challenge - Gold Award | Glen Scotia - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,20,0,0,11,some extracted metadata
2026-04-18T00:30:21.587917+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/golds-all-round-for-glen-scotia,Scotch Whisky Masters - Gold Awards All Round | Glen Scotia - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,13,rich extracted metadata
2026-04-18T00:30:20.762974+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-unveils-rare-30-year-old-single-malt,Unveils Rare 30 Year Old Single Malt | Glen Scotia - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,22,rich extracted metadata
2026-04-18T00:30:19.946183+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-vintage-1991-awarded-travel-retail-master,Awarded Travel Retail Master - Glen Scotia Vintage 1991 American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,13,rich extracted metadata
2026-04-18T00:28:58.511063+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-unveils-new-festive-sherry-double-cask-finish,New Festive Sherry Double Cask Finish | Glen Scotia - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,21,rich extracted metadata
2026-04-18T00:28:57.678559+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-unveils-limited-edition-14-year-old-tawny-port-finish-for-campbeltown-malts-festival-2020,Glen Scotia unveils 14 Year Old Tawny Port Finish for 2020 Malts Festi American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,25,rich extracted metadata
2026-04-18T00:28:56.849610+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-unveils-new-48-year-old-which-celebrates-campbeltown-s-historical-trade-links-and-provides-a-glimpse-into-a-bygone-era-of-time,Glen Scotia unveils new 48 Year Old which celebrates Campbeltown’s his American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,29,rich extracted metadata
2026-04-18T00:28:56.022660+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-unveils-new-limited-edition-21-year-old,Glen Scotia Unveils A New Limited Edition 21 Year Old | Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,20,rich extracted metadata
